example_id                                        | status | run_time        |
------------------------------------------------- | ------ | --------------- |
./spec/posts/metadata_spec.rb[1:1:1]              | passed | 0.00025 seconds |
./spec/posts/metadata_spec.rb[1:1:2]              | passed | 0.00089 seconds |
./spec/posts/metadata_spec.rb[1:1:3]              | passed | 0.00068 seconds |
./spec/posts/repo_spec.rb[1:1:1]                  | passed | 0.0172 seconds  |
./spec/posts/repo_spec.rb[1:1:2]                  | passed | 0.0009 seconds  |
./spec/utils/frontmatter_converter_spec.rb[1:1:1] | passed | 0.0002 seconds  |
./spec/utils/frontmatter_converter_spec.rb[1:1:2] | passed | 0.00004 seconds |
./spec/utils/frontmatter_converter_spec.rb[1:1:3] | passed | 0.00003 seconds |
./spec/utils/frontmatter_converter_spec.rb[1:1:4] | passed | 0.00056 seconds |
./spec/utils/frontmatter_converter_spec.rb[1:1:5] | passed | 0.00003 seconds |
./spec/utils/frontmatter_converter_spec.rb[1:1:6] | passed | 0.00032 seconds |
./spec/utils/frontmatter_converter_spec.rb[1:1:7] | passed | 0.00003 seconds |
./spec/utils/frontmatter_converter_spec.rb[1:1:8] | passed | 0.00004 seconds |
./spec/utils/frontmatter_converter_spec.rb[1:2:1] | passed | 0.00004 seconds |
./spec/utils/frontmatter_converter_spec.rb[1:2:2] | passed | 0.00003 seconds |
./spec/utils/frontmatter_converter_spec.rb[1:2:3] | passed | 0.00002 seconds |
./spec/utils/frontmatter_converter_spec.rb[1:2:4] | passed | 0.00003 seconds |
./spec/utils/frontmatter_converter_spec.rb[1:2:5] | passed | 0.00002 seconds |
